A/C,Type,MSN,Operator,Grounded,Export
B-320S,A350-941,nan,China Southern Airlines,False,17/09/2025 - 20:13
B-324S,A350-941,nan,China Southern Airlines,True,17/09/2025 - 20:13
G-VEVE,A350-1041,nan,Virgin Atlantic Airways,False,17/09/2025 - 20:13
B-LRA,A350-941,29,Cathay Pacific,False,17/09/2025 - 20:13
TC-LGG,A350-941,nan,Turkish Airlines,True,17/09/2025 - 20:13
TC-LGE,A350-941,nan,Turkish Airlines,False,17/09/2025 - 20:13
TC-LGC,A350-941,nan,Turkish Airlines,False,17/09/2025 - 20:13
B-LRL,A350-941,72,Cathay Pacific,False,17/09/2025 - 20:13
EC-NGT,A350-941,366,Iberia Airlines,False,17/09/2025 - 20:13
EC-NJM,A350-941,nan,Iberia Airlines,False,17/09/2025 - 20:13
A6-XWC,A350-1041,nan,Etihad Airways,False,17/09/2025 - 20:13
A6-XWA,A350-1041,nan,Etihad Airways,True,17/09/2025 - 20:13
OH-LWF,A350-941,28,Finnair,False,17/09/2025 - 20:13
OH-LWM,A350-941,nan,Finnair,False,17/09/2025 - 20:13
9V-SHE,A350-941,nan,Singapore Airlines,False,17/09/2025 - 20:13
9V-SHD,A350-941,nan,Singapore Airlines,False,17/09/2025 - 20:13
G-XWBF,A350-1041,402,British Airways,False,17/09/2025 - 20:13
9V-SJB,A350-941,nan,Singapore Airlines,False,17/09/2025 - 20:13
B-18902,A350-941,57,China Airlines,False,17/09/2025 - 20:13
B-18905,A350-941,73,China Airlines,False,17/09/2025 - 20:13
B-18912,A350-941,162,China Airlines,True,17/09/2025 - 20:13
B-18917,A350-941,208,China Airlines,False,17/09/2025 - 20:13
HL8362,A350-941,nan,Asiana Airlines,False,17/09/2025 - 20:13
F-HTYP,A350-941,nan,Air France,False,17/09/2025 - 20:13
B-LRX,A350-941,155,Cathay Pacific,False,17/09/2025 - 20:13
B-LRU,A350-941,148,Cathay Pacific,False,17/09/2025 - 20:13
B-LXG,A350-1041,nan,Cathay Pacific,True,17/09/2025 - 20:13
B-LXE,A350-1041,nan,Cathay Pacific,False,17/09/2025 - 20:13
B-LQA,A350-941,nan,Cathay Pacific,False,17/09/2025 - 20:13
B-LXK,A350-1041,nan,Cathay Pacific,False,17/09/2025 - 20:13
B-LXL,A350-1041,306,Cathay Pacific,False,17/09/2025 - 20:13
B-LXM,A350-1041,nan,Cathay Pacific,False,17/09/2025 - 20:13
B-LXP,A350-1041,503,Cathay Pacific,True,17/09/2025 - 20:13
A7-ALW,A350-941,nan,Qatar Airways,False,17/09/2025 - 20:13
A7-ALX,A350-941,126,Qatar Airways,False,17/09/2025 - 20:13
A7-ALV,A350-941,106,Qatar Airways,False,17/09/2025 - 20:13
A7-ANM,A350-1041,nan,Qatar Airways,False,17/09/2025 - 20:13
A7-ANG,A350-1041,nan,Qatar Airways,False,17/09/2025 - 20:13
A7-AND,A350-1041,nan,Qatar Airways,False,17/09/2025 - 20:13
A7-ANS,A350-1041,nan,Qatar Airways,False,17/09/2025 - 20:13
A7-ANQ,A350-1041,nan,Qatar Airways,False,17/09/2025 - 20:13
A7-ANP,A350-1041,nan,Qatar Airways,False,17/09/2025 - 20:13
A7-ALM,A350-941,42,Qatar Airways,False,17/09/2025 - 20:13
HS-THD,A350-941,95,Thai Airways,False,17/09/2025 - 20:13
A7-ALB,A350-941,7,Qatar Airways,False,17/09/2025 - 20:13
N507DN,A350-941,182,Delta Air Lines,False,17/09/2025 - 20:13
D-AIXA,A350-941,74,Lufthansa,False,17/09/2025 - 20:13
D-AIXE,A350-941,136,Lufthansa,False,17/09/2025 - 20:13
D-AIXC,A350-941,87,Lufthansa,False,17/09/2025 - 20:13
D-AIXH,A350-941,184,Lufthansa,False,17/09/2025 - 20:13
D-AIXO,A350-941,314,Lufthansa,False,17/09/2025 - 20:13
RP-C3508,A350-941,nan,Philippine Airlines,False,17/09/2025 - 20:13
N511DN,A350-941,210,Delta Air Lines,False,17/09/2025 - 20:13
N503DN,A350-941,149,Delta Air Lines,True,17/09/2025 - 20:13
VN-A893,A350-941,129,Vietnam Airlines,False,17/09/2025 - 20:13
VN-A898,A350-941,nan,Vietnam Airlines,False,17/09/2025 - 20:13
N512DN,A350-941,267,Delta Air Lines,False,17/09/2025 - 20:13
B-1083,A350-941,nan,Air China,False,17/09/2025 - 20:13
9V-SGA,A350-941,nan,Singapore Airlines,False,17/09/2025 - 20:13
9V-SGB,A350-941,nan,Singapore Airlines,False,17/09/2025 - 20:13
EC-NBE,A350-941,nan,Iberia Airlines,False,17/09/2025 - 20:13
9V-SMC,A350-941,31,Singapore Airlines,False,17/09/2025 - 20:13
9V-SMD,A350-941,37,Singapore Airlines,False,17/09/2025 - 20:13
9V-SMF,A350-941,54,Singapore Airlines,False,17/09/2025 - 20:13
9V-SMI,A350-941,77,Singapore Airlines,False,17/09/2025 - 20:13
9V-SMR,A350-941,140,Singapore Airlines,False,17/09/2025 - 20:13
9V-SMW,A350-941,nan,Singapore Airlines,False,17/09/2025 - 20:13
EC-NCX,A350-941,nan,Iberia Airlines,False,17/09/2025 - 20:13
EC-MYX,A350-941,nan,Iberia Airlines,False,17/09/2025 - 20:13
N510DN,A350-941,204,Delta Air Lines,False,17/09/2025 - 20:13
HL7771,A350-941,nan,Asiana Airlines,False,17/09/2025 - 20:13
