icao24,registration,manufacturer,model,typecode,serialnumber,icaoaircrafttype,operatorplain,operatorcallsign,operatoricao,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines
781799,B-30A9,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
888139,VN-A894,AIRBUS,A350-941,A359,150,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
a67811,N516DN,AIRBUS,A350-941,A359,530,L2J,Delta Air Lines,DELTA,DAL,,,2029-01-31,,2022-01-01,,,ROLLS DEU TRENT XWB-84
76cd09,9V-SHI,AIRBUS,A350-941,A359,322,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,2019-06-01,,,
60040,3B-NCE,AIRBUS,A350-941,A359,,L2J,Air Mauritius,AIRMAURITIUS,MAU,,,,,,,,
06a0e2,A7-AMC,AIRBUS,A350-941,A359,48,L2J,Qatar Airways,QATARI,QTR,F-WZGU,2017-04-24,,,2016-01-01,,,
789247,B-LXO,AIRBUS,A350-1041,A35K,,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
4aca63,SE-RSC,AIRBUS,A350-941,A359,,L2J,SAS Airlines,SCANDINAVIAN,SAS,,,,,,,,
a68336,N519DN,AIRBUS,A350-941,A359,588,L2J,Delta Air Lines,DELTA,DAL,,,2029-12-31,,2022-01-01,,,ROLLS-ROYC TRENT XWB-84
841538,JA05XJ,AIRBUS,A350-941,A359,370,L2J,Japan Airlines,JAPANAIR,JAL,,,,,,,,
781ac4,B-321M,AIRBUS,A350-941,A359,,L2J,Air China,AIR CHINA,CCA,,,,,,,,
885106,HS-THF,AIRBUS,A350-941,A359,123,L2J,Thai Airways,THAI,THA,,,,,,,,
780abd,B-LRR,AIRBUS,A350-941,A359,119,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
06a0e8,A7-AMI,AIRBUS,A350-941,A359,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
780a9b,B-LRA,AIRBUS,A350-941,A359,29,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
43beb9,VP-BXP,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
781bf7,B-324S,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
151dc3,RA-73155,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
39b493,F-HNET,AIRBUS,A350-941,A359,91,L2J,Air Caraïbes,FRENCH WEST,FWI,,,,,,,,
39cf0a,F-HTYK,AIRBUS,A350-941,A359,502,L2J,Air France,AIRFRANS,AFR,,,,,2021-06-01,2021-06-18,,
789218,B-LXF,AIRBUS,A350-1041,A35K,,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
76cce6,9V-SGF,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
781ce6,B-327V,AIRBUS,A350-941,A359,,L2J,Air China,AIR CHINA,CCA,,,,,,,,
76cdb6,9V-SMV,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
60030,3B-NBQ,AIRBUS,A350-941,A359,157,L2J,Air Mauritius,AIRMAURITIUS,MAU,,,,,,,,
39cf03,F-HTYD,AIRBUS,A350-941,A359,381,L2J,Air France,AIRFRANS,AFR,,,,,,,,RR TRENT XWB
a63dff,N501DN,AIRBUS,A350-941,A359,115,L2J,Delta Air Lines,DELTA,DAL,,,2027-07-31,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
151dc0,RA-73152,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
4bb0e3,TC-LGC,AIRBUS,A350-941,A359,,L2J,Turkish Airlines,TURKISH,THY,,,,,,,,
39cf09,F-HTYJ,AIRBUS,A350-941,A359,500,L2J,Air France,AIRFRANS,AFR,,,,,,,,
06a10e,A7-ALZ,AIRBUS,A350-941,A359,12,L2J,Qatar Airways,QATARI,QTR,,2016-03-07,,,2016-01-01,,,
346057,EC-MYX,AIRBUS,A350-941,A359,,L2J,Iberia Airlines,IBERIA,IBE,,,,,,,,
840600000000,JA01XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
06a0e1,A7-AMB,AIRBUS,A350-941,A359,64,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
76cdad,9V-SMM,AIRBUS,A350-941,A359,99,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
4aca65,SE-RSE,AIRBUS,A350-941,A359,,L2J,SAS Airlines,SCANDINAVIAN,SAS,,,,,,,,
76cdb3,9V-SMS,AIRBUS,A350-941,A359,158,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
42446c,VQ-BFZ,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
758523,RP-C3504,AIRBUS,A350-941,A359,,L2J,Philippine Airlines,PHILIPPINE,PAL,,,,,,,,
06a107,A7-ALS,AIRBUS,A350-941,A359,83,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
76cd0c,9V-SHL,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
346146,EC-NBE,AIRBUS,A350-941,A359,,L2J,Iberia Airlines,IBERIA,IBE,,,,,,,,
461f4b,OH-LWD,AIRBUS,A350-941,A359,22,L2J,Finnair,FINNAIR,FIN,,,,,,,,
76cda6,9V-SMF,AIRBUS,A350-941,A359,54,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
88800000,VN-A886,AIRBUS,A350-941,A359,14,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
39cf06,F-HTYG,AIRBUS,A350-941,A359,479,L2J,Air France,AIRFRANS,AFR,,,,,2021-02-01,2021-03-13,,
7817b7,B-30AL,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
