A/C,Type,MSN,Operator,Grounded,Export
D-AIXB,A350-941,80,Lufthansa,False,22/11/2021 - 08:20
D-AIXF,A350-941,146,Lufthansa,False,22/11/2021 - 08:20
D-AIXJ,A350-941,209,Lufthansa,False,22/11/2021 - 08:20
D-AIXN,A350-941,292,Lufthansa,False,22/11/2021 - 08:20
SE-RSB,A350-941,378,Scandinavian,True,22/11/2021 - 08:20
TC-LGA,A350-941,403,Turkish Airlines,False,22/11/2021 - 08:20
N502DN,A350-941,135,Delta,True,22/11/2021 - 08:20
B-LRD,A350-941,38,Cathay Pacific,False,22/11/2021 - 08:20
B-LRB,A350-941,32,Cathay Pacific,False,22/11/2021 - 08:20
B-LRN,A350-941,85,Cathay Pacific,False,22/11/2021 - 08:20
EC-NGY,A350-941,400,Evelop Airlines,False,22/11/2021 - 08:20
EC-NIS,A350-941,406,Iberia,False,22/11/2021 - 08:20
OH-LWL,A350-941,134,Finnair,False,22/11/2021 - 08:20
9V-SMH,A350-941,68,Singapore Airlines,False,22/11/2021 - 08:20
9V-SMF,A350-941,54,Singapore Airlines,False,22/11/2021 - 08:20
9V-SMI,A350-941,77,Singapore Airlines,False,22/11/2021 - 08:20
9V-SMP,A350-941,122,Singapore Airlines,False,22/11/2021 - 08:20
HL8078,A350-941,94,Asiana Airlines,False,22/11/2021 - 08:20
HL8079,A350-941,117,Asiana Airlines,False,22/11/2021 - 08:20
F-HTYI,A350-941,491,Air France,True,22/11/2021 - 08:20
F-HTYB,A350-941,349,Air France,False,22/11/2021 - 08:20
A7-ALY,A350-941,132,Qatar,False,22/11/2021 - 08:20
A7-ALS,A350-941,83,Qatar,False,22/11/2021 - 08:20
A7-ALQ,A350-941,76,Qatar,False,22/11/2021 - 08:20
A7-AMJ,A350-941,237,Qatar,False,22/11/2021 - 08:20
A7-ALI,A350-941,21,Qatar,False,22/11/2021 - 08:20
